Page,Number,Name,MasjidID,Email,Phone,Address
1,20,SYUKUR,01.4.14.31.04.000001,-,085219401201,"KENTINGAN RT. 01 RW. 17 JEBRES SURAKARTA Jebres, Kota Surakarta Jawa Tengah"
1,10,NURUL HUDA,01.4.14.18.13.000001,-,081575508030,"Desa Bermi, Kec.Gembong, Kab.Pati, Prov.Jawa Tengah Gembong, Kab. Pati Jawa Tengah"
1,1,AGUNG DEMAK,01.5.14.21.11.000001,masjidagungdemak.id@gmail.com,(0291) 685532,"Jl. Raya Sultan Fatah No.57, Kec. Demak, Kab. Demak Demak, Kab. Demak Jawa Tengah"
1,22,ISLAMIC CENTRE,01.4.14.33.15.000131,-,024 - 7618111,"Jl. Abdurrahman Saleh Kalipancur Ngaliyan Semarang Ngaliyan, Kota Semarang Jawa Tengah"
1,27,AL-MUSAFIR,01.6.14.31.05.000001,-,081393802925,"KOMPLEK TERMINAL TIRTONADI KEL. GILINGAN Banjarsari, Kota Surakarta Jawa Tengah"
1,16,BAITUSSALAM,01.4.14.29.06.000001,-,-,"DK. KARANGJATI DS. TONJONG KEC. TONJONG Tonjong, Kab. Brebes Jawa Tengah"
1,23,SIROJUDIN,01.4.14.33.15.000002,-,08122908613,"Jl. Purwoyoso RT 07 RW I Ngaliyan, Kota Semarang Jawa Tengah"
1,15,BAITUSSALAM,01.3.14.27.02.000001,-,082323344679,"Desa Pulosari Rt 08 Rw 02 , Kec.Pulosari, Kab.Pemalang, Prov.Jawa Tengah Pulosari, Kab. Pemalang Jawa Tengah"
1,4,SABILLIL MUTTAQIN,01.4.14.16.05.000001,-,-,"Dukuh Judan, Desa Jipang, Kec.Cepu, Kab.Blora, Prov.Jawa Tengah Cepu, Kab. Blora Jawa Tengah"
1,30,AL-IKHLAS,01.4.14.31.05.000002,-,-,"KOMPLEK KANTOR KEMENAG KOTA SURAKARTA KEL. SUMBER Banjarsari, Kota Surakarta Jawa Tengah"
1,21,AL-HIKMAH,01.6.14.31.04.000190,-,081548556515,"Kentingan RT. 01 RW. 10 Jebres Surakarta Jebres, Kota Surakarta Jawa Tengah"
1,26,AL-QUSUF,01.6.14.33.01.000003,-,024 - 3513366,"Balaikota Semarang Jl. Pemuda Semarang Semarang Tengah, Kota Semarang Jawa Tengah"
1,13,AL-IMAN,01.4.14.10.24.000001,-,-,"Jonggrahan Baru, Kec.Klaten Utara, Kab.Klaten, Prov.Jawa Tengah Klaten Utara, Kab. Klaten Jawa Tengah"
1,14,BAITUL MANNAN,01.4.14.27.08.000001,-,-,"Kel.Padurasa, Kec.Pemalang, Kab.Pemalang, Prov.Jawa Tengah Pemalang, Kab. Pemalang Jawa Tengah"
1,24,DARUSSALAM,01.4.14.33.15.000003,-,081391800077,"Perum Beringin Lestari Beringin Elok RW 16 Wonosari Ngaliyan, Kota Semarang Jawa Tengah"
1,28,AL-MUHAJIRIN,01.3.14.32.04.000001,-,-,"Jl. Bima No. 4 RT 03 RW VII Grogol Baru, Kelurahan Dukuh. Sidomukti, Kota Salatiga Jawa Tengah"
1,3,AL-AQSHO MENARA KUDUS,01.5.14.19.02.000001,-,08562674215,"Desa Kauman, Jl. Menara, Kec. Kota Kab. Kudus Jawa Tengah Kudus, Kab. Kudus Jawa Tengah"
1,29,SUNAN KALIJAGA,01.6.14.32.04.000002,-,08529966494,"Komplek Polres Salatiga, Jl. Adi Sucipto No. 1 RT 01 RW 01 Kelurahan Kalicacing. Sidomukti, Kota Salatiga Jawa Tengah"
1,17,AL-FAIRUZ,01.3.14.34.02.000001,-,(0285) 422884,"Jl. Raya Baros Pekalongan Timur, Kota Pekalongan Jawa Tengah"
1,7,AL-MUJAHIDIN,01.4.14.29.09.000001,-,-,"Desa Kedunguter, Kec.Brebes, Kab.Brebes, Prov. Jawa Tengah Brebes, Kab. Brebes Jawa Tengah"
1,9,AL-FALAH,01.4.14.29.17.000001,-,-,"Desa Cihaur, Kec.Banjarharjo, Kab.Brebes, Prov.Jawa Tengah Banjarharjo, Kab. Brebes Jawa Tengah"
1,5,AN-NUR,01.4.14.33.16.000001,-,-,"Rt.05/Rw.01 Karanganyar, Kec. Tugu, Kota Semarang, Prov.Jawa Tengah Tugu, Kota Semarang Jawa Tengah"
1,18,AL-MUHAJIRIN,01.4.14.32.03.000001,hsamsul069@gmail.com,08179518852,"Perum Argomas Timur RT 04 RW IX Kelurahan Ledok, Kecamatan Argomulyo Kota Salatiga Argomulyo, Kota Salatiga Jawa Tengah"
1,12,BAITURROHMAN I,01.4.14.20.02.000001,-,085290094290,"Desa Kaliombo Rt. 02 Rw. 02 Pecangaan, Kab. Jepara Jawa Tengah"
1,11,BAITUL HUDA,01.4.14.20.16.000001,-,082136643055,"UJUNGWATU 02/03 DK. GROBOGAN Donorojo, Kab. Jepara Jawa Tengah"
1,8,AL-HUDA,01.4.14.03.14.000001,-,-,"Desa Galuh, Kec.Bojongsari, Kab.Purbalingga, Prov.Jawa Tengah Bojongsari, Kab. Purbalingga Jawa Tengah"
1,25,BAITURRAHMAN,01.1.14.33.01.000002,-,024 - 8310155,"Jl. Pandanaran 126 Semarang Semarang Tengah, Kota Semarang Jawa Tengah"
1,2,AGUNG JAWA TENGAH,01.1.14.33.04.000001,bp.majt@gmail.com,024 6725412,"Jl. Gajah Raya, Kelurahan Sambirejo Gayamsari, Kota Semarang Jawa Tengah"
1,19,BAITUN NUR,01.4.14.30.02.000001,-,-,"Bogeman Timur RT.05/ RW.07 Magelang Utara, Kota Magelang Jawa Tengah"
1,6,JAMIATUL MUSLIMIN,01.4.14.12.05.000001,-,-,"Desa Girirejo, Kec.Tirtomoyo, Kab.Wonogiri, Prov.Jawa Tengah Tirtomoyo, Kab. Wonogiri Jawa Tengah"
2,25,BAITUL HUDA,01.4.14.35.04.000024,-,-,"Sumurpanggang RT.09/I Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,10,NURUL HUDA,01.4.14.35.04.000010,-,-,"Kalinyamat Kulon Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,19,BAITU AT-TAAIBIIN,01.4.14.33.12.000002,-,082133544544,"Jl. Raya Ampel Gading Kalisegoro Gunungpati, Kota Semarang Jawa Tengah"
2,11,BAITUL MUHTADIN,01.4.14.35.04.000011,-,-,"Kalinyamat Kulon Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,7,BAITURROHMAN,01.4.14.35.04.000007,-,081914132121,"Jalan Ciptomangunkusumo Kaligangsa Margadana, Kota Tegal Jawa Tengah"
2,15,AL-BAROKAH,01.4.14.35.04.000016,-,-,"Margadana Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,8,BAITULLAH,01.4.14.35.04.000008,-,-,"Kaligangsa Perumnas Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,13,AL-HIDAYAH,01.4.14.35.04.000014,-,-,"Margadana Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,18,BAITUL IMAN,01.4.14.35.04.000019,-,-,"Pesurungan Lor Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,21,BAITUR RAHMAN,01.4.14.30.03.000001,-,02933683731,"BOTTON RT/2 RW O6 Magelang Tengah, Kota Magelang Jawa Tengah"
2,9,SABILUL HUDA,01.4.14.35.04.000009,-,0283312171 / 081327074461,"Jl. Ki Hajar Dewantoro RT.03/04 Kalinyamat Kulon Margadana, Kota Tegal Jawa Tengah"
2,28,NURUL HIKMAH,01.3.14.35.04.000044,-,082298584949,"Jl. Ponorogo Gg. Lele Rt07/01, Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52141, Indonesia Margadana, Kota Tegal Jawa Tengah"
2,26,NURKHASANAH,01.4.14.35.04.000025,-,-,"Sumurpanggang RT.03/III Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,29,NURUSSAFAR,01.4.14.35.04.000028,-,-,"Sumurpanggang Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,22,NURUL ISLAM,01.4.14.35.04.000021,-,0857422243,"Jl. Brigjen Slamet Riyadi RT.03/03 Cabawan Margadana, Kota Tegal Jawa Tengah"
2,30,AL-MU'MININ,01.4.14.35.01.000004,-,-,"Jl. Bhakti No. 12 RT.03/II Kemandungan Tegal Barat, Kota Tegal Jawa Tengah"
2,23,AL-ISTIQOMAH,01.4.14.35.04.000022,-,081902192206,"Jl. KH. Dewantara Sumurpanggang RT.04/02 Margadana, Kota Tegal Jawa Tengah"
2,5,BAITUL IZZAH,01.4.14.35.04.000005,-,-,"Kaligangsa Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,1,TAQWA SEKAYU,01.5.14.33.01.000040,-,085875595857,"Jl. Sekayu Masjid Kel. Sekayu Kec. Semarang Tengah Semarang Tengah, Kota Semarang Jawa Tengah"
2,24,AL-MANAR,01.4.14.35.04.000023,-,085229190545,"Jl. Situbondo No.11 , Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52147, Indonesia Margadana, Kota Tegal Jawa Tengah"
2,6,MIFTAKHUSSALAM,01.4.14.35.04.000006,-,-,"Kaligangsa Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,2,AL-AZHAR,01.4.14.35.04.000002,-,087897631985,"Jl. Slamet Riyadi No.20 RT 03/RW 02, Cabawan Margadana, Kota Tegal Jawa Tengah"
2,14,AL-FURQON,01.4.14.35.04.000015,-,08179598215,"Jl. Prof.Buya Hamka RT.05/10 Margadana Margadana, Kota Tegal Jawa Tengah"
2,16,JENDRAL SUDIRMAN,01.4.14.35.04.000017,-,0895385249480,"Margadana Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,4,BAITUL MAKMUR,01.4.14.35.04.000004,-,-,"Kaligangsa Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,3,AL-AMIN,01.4.14.33.12.000001,-,082133164470,"Jl. Dewi Sartika Timur X/10 RT 07 RW V Kradenan Lama, Kel. Sukorejo Gunungpati, Kota Semarang Jawa Tengah"
2,17,NURUL HUDA,01.4.14.35.04.000018,-,-,"Pesurungan Lor Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,12,AL-ABROR,01.3.14.35.04.000013,-,08156677754,"Jalan Probolinggo RT.01/VII Margadana Margadana, Kota Tegal Jawa Tengah"
2,20,AL-ITTIHAD,01.4.14.35.04.000020,-,-,"Sumurpanggang RT.01 RW.01 Kecamatan Margadana Kota Tegal Margadana, Kota Tegal Jawa Tengah"
2,27,MIFTAHUL JANNAH,01.4.14.35.04.000026,-,085725367661,"Jl. KH Agus Salim No.3, Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52141, Indonesia Margadana, Kota Tegal Jawa Tengah"
3,5,ARRAUDLOH,01.4.14.35.01.000009,-,-,"Jl. Salak Hadad RT.04/VI Kraton Tegal Barat, Kota Tegal Jawa Tengah"
3,1,AL-FAJAR,01.4.14.35.01.000006,-,-,"Jl. Cempedak RT.8/VI Kraton Tegal Barat, Kota Tegal Jawa Tengah"
3,16,AL-ABIDIN,01.4.14.35.01.000016,-,-,"Jl. Duku RT.04/III Pekauman Tegal Barat, Kota Tegal Jawa Tengah"
3,3,AS-SHIFA,01.4.14.35.01.000008,-,-,"Jl. Rambutan 1 RT.7/III Kraton Tegal Barat, Kota Tegal Jawa Tengah"
3,17,AL-IRSYAD,01.4.14.35.01.000017,-,-,"Jl. Gajahmada RT.02/III Pekauman Tegal Barat, Kota Tegal Jawa Tengah"
3,6,AT-THOHIRIYYAH,01.4.14.32.01.000002,-,0298-322944,"Jl. Domas No. 05 RT 04 RW 08 Kelurahan Salatiga Sidorejo, Kota Salatiga Jawa Tengah"
3,13,ISTIQOMAH,01.4.14.35.01.000014,-,-,"Jl. Blimbing RT.07/V Pekauman Tegal Barat, Kota Tegal Jawa Tengah"
3,4,AL-HUDA,01.6.14.32.01.000001,-,-,"Jl. Cungkup No. 405 Salatiga Sidorejo, Kota Salatiga Jawa Tengah"
3,18,BAITUL MA'MUR NI'MAH,01.4.14.35.01.000018,-,0283359491,"Jl. Kapten Sudibyo RT.09/06 Pekauman Tegal Barat, Kota Tegal Jawa Tengah"
3,14,DAMARJATI,01.5.14.32.01.000005,-,0298-315501,"Jl. Damarjati No. 05 RT 02 RW 05 Krajan Kel. Salatiga Sidorejo, Kota Salatiga Jawa Tengah"
3,8,BAITUT TAIBIIN,01.4.14.35.01.000011,-,081770443054,"Jl. Sawo Barat Gg. Candi 3 RT.10/IV Kraton Tegal Barat, Kota Tegal Jawa Tengah"
3,23,AL-MUBAROKAH,01.4.14.35.01.000023,-,-,"Jl. H.Abdul Ghoni RT.07/II Pesurungan Kidul Tegal Barat, Kota Tegal Jawa Tengah"
3,7,SABILUL MUHTADIN,01.4.14.35.01.000010,-,-,"Jl. Sawo Barat RT.02/VII Kraton Tegal Barat, Kota Tegal Jawa Tengah"
3,21,UMAR AL-MUSTOFA,01.4.14.35.01.000021,-,-,"Jl. Dewi Sartika RT.05/I Pesurungan Kidul Tegal Barat, Kota Tegal Jawa Tengah"
3,28,NURUL IMAN,01.4.14.32.01.000007,-,-,"Jl. Kalisombo No. 47 RT 09 RW V Sidorejo Sidorejo, Kota Salatiga Jawa Tengah"
3,26,NURUL FAJAR IMAN,01.4.14.35.01.000026,-,-,"Gang Kemari RT.06/III Tegalsari Tegal Barat, Kota Tegal Jawa Tengah"
3,27,NURUL FATTAH,01.4.14.32.01.000006,-,(0298)327346,"Kaligetek, Krajan, Salatiga Sidorejo, Kota Salatiga Jawa Tengah"
3,10,NURUL FALAH,01.4.14.35.01.000012,-,-,"Jl. Brawijaya RT.03/II Muarareja Tegal Barat, Kota Tegal Jawa Tengah"
3,25,AN-NUR,01.4.14.35.01.000025,-,-,"Jl. Si-untung RT.07/I Pesurungan Kidul Tegal Barat, Kota Tegal Jawa Tengah"
3,29,NURUL MUSTAQIN,01.4.14.32.01.000008,-,-,"Turusan Rt 03 RW 07 Sidorejo, Kota Salatiga Jawa Tengah"
